group,group_label,node_index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,weight
1,center,1,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,-1486.727592924692059689
2,axis_l2,1,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,126.560235848122711776
2,axis_l2,2,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,126.560235848122711776
2,axis_l2,3,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,126.560235848122711776
2,axis_l2,4,0.000000000000000000,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,126.560235848122711776
2,axis_l2,5,0.000000000000000000,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,126.560235848122711776
2,axis_l2,6,0.000000000000000000,0.000000000000000000,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,126.560235848122711776
2,axis_l2,7,0.000000000000000000,0.000000000000000000,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,126.560235848122711776
2,axis_l2,8,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,126.560235848122711776
2,axis_l2,9,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,126.560235848122711776
