group,group_label,node_index,x1,x2,weight
1,center,1,0.000000000000000000,0.000000000000000000,2.909547716724805611
2,axis_l1,1,-0.955907315804538915,0.000000000000000000,-0.025476792732883849
2,axis_l1,2,0.955907315804538915,0.000000000000000000,-0.025476792732883849
2,axis_l1,3,0.000000000000000000,-0.955907315804538915,-0.025476792732883849
2,axis_l1,4,0.000000000000000000,0.955907315804538915,-0.025476792732883849
3,axis_l2,1,-0.406057174738239546,0.000000000000000000,0.123986256654814359
3,axis_l2,2,0.406057174738239546,0.000000000000000000,0.123986256654814359
3,axis_l2,3,0.000000000000000000,-0.406057174738239546,0.123986256654814359
3,axis_l2,4,0.000000000000000000,0.406057174738239546,0.123986256654814359
4,axis_l3,1,-0.895254709252355174,0.000000000000000000,0.057693384490972686
4,axis_l3,2,0.895254709252355174,0.000000000000000000,0.057693384490972686
4,axis_l3,3,0.000000000000000000,-0.895254709252355174,0.057693384490972686
4,axis_l3,4,0.000000000000000000,0.895254709252355174,0.057693384490972686
5,axis_lp_null,1,-0.250000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,2,0.250000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,3,0.000000000000000000,-0.250000000000000000,0.000000000000000000
5,axis_lp_null,4,0.000000000000000000,0.250000000000000000,0.000000000000000000
6,pair_l1_l1,1,-0.955907315804538915,-0.955907315804538915,0.008448904373250531
6,pair_l1_l1,2,-0.955907315804538915,0.955907315804538915,0.008448904373250531
6,pair_l1_l1,3,0.955907315804538915,-0.955907315804538915,0.008448904373250531
6,pair_l1_l1,4,0.955907315804538915,0.955907315804538915,0.008448904373250531
7,pair_l1_l2,1,-0.955907315804538915,-0.406057174738239546,0.022543144647178933
7,pair_l1_l2,2,-0.955907315804538915,0.406057174738239546,0.022543144647178933
7,pair_l1_l2,3,0.955907315804538915,-0.406057174738239546,0.022543144647178933
7,pair_l1_l2,4,0.955907315804538915,0.406057174738239546,0.022543144647178933
7,pair_l1_l2,5,-0.406057174738239546,-0.955907315804538915,0.022543144647178933
7,pair_l1_l2,6,0.406057174738239546,-0.955907315804538915,0.022543144647178933
7,pair_l1_l2,7,-0.406057174738239546,0.955907315804538915,0.022543144647178933
7,pair_l1_l2,8,0.406057174738239546,0.955907315804538915,0.022543144647178933
9,full_diag_l0,1,-0.686075797561756295,-0.686075797561756295,0.062875028738286959
9,full_diag_l0,2,-0.686075797561756295,0.686075797561756295,0.062875028738286959
9,full_diag_l0,3,0.686075797561756295,-0.686075797561756295,0.062875028738286959
9,full_diag_l0,4,0.686075797561756295,0.686075797561756295,0.062875028738286959
