group,group_label,node_index,x1,x2,x3,weight
1,center,1,0.000000000000000000,0.000000000000000000,0.000000000000000000,-3.135521946296881266
2,axis_l2,1,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.988751842563458686
2,axis_l2,2,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.988751842563458686
2,axis_l2,3,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.988751842563458686
2,axis_l2,4,0.000000000000000000,0.406057174738239736,0.000000000000000000,0.988751842563458686
2,axis_l2,5,0.000000000000000000,0.000000000000000000,-0.406057174738239736,0.988751842563458686
2,axis_l2,6,0.000000000000000000,0.000000000000000000,0.406057174738239736,0.988751842563458686
3,axis_l1,1,-0.955907315804539012,0.000000000000000000,0.000000000000000000,0.238301131987580848
3,axis_l1,2,0.955907315804539012,0.000000000000000000,0.000000000000000000,0.238301131987580848
3,axis_l1,3,0.000000000000000000,-0.955907315804539012,0.000000000000000000,0.238301131987580848
3,axis_l1,4,0.000000000000000000,0.955907315804539012,0.000000000000000000,0.238301131987580848
3,axis_l1,5,0.000000000000000000,0.000000000000000000,-0.955907315804539012,0.238301131987580848
3,axis_l1,6,0.000000000000000000,0.000000000000000000,0.955907315804539012,0.238301131987580848
4,axis_lp_null,1,-0.750000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
4,axis_lp_null,2,0.750000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
4,axis_lp_null,3,0.000000000000000000,-0.750000000000000000,0.000000000000000000,0.000000000000000000
4,axis_lp_null,4,0.000000000000000000,0.750000000000000000,0.000000000000000000,0.000000000000000000
4,axis_lp_null,5,0.000000000000000000,0.000000000000000000,-0.750000000000000000,0.000000000000000000
4,axis_lp_null,6,0.000000000000000000,0.000000000000000000,0.750000000000000000,0.000000000000000000
5,pair_l1_l1,1,-0.955907315804539012,-0.955907315804539012,0.000000000000000000,0.077671466698993554
5,pair_l1_l1,2,-0.955907315804539012,0.955907315804539012,0.000000000000000000,0.077671466698993554
5,pair_l1_l1,3,0.955907315804539012,-0.955907315804539012,0.000000000000000000,0.077671466698993554
5,pair_l1_l1,4,0.955907315804539012,0.955907315804539012,0.000000000000000000,0.077671466698993554
5,pair_l1_l1,5,-0.955907315804539012,0.000000000000000000,-0.955907315804539012,0.077671466698993554
5,pair_l1_l1,6,-0.955907315804539012,0.000000000000000000,0.955907315804539012,0.077671466698993554
5,pair_l1_l1,7,0.955907315804539012,0.000000000000000000,-0.955907315804539012,0.077671466698993554
5,pair_l1_l1,8,0.955907315804539012,0.000000000000000000,0.955907315804539012,0.077671466698993554
5,pair_l1_l1,9,0.000000000000000000,-0.955907315804539012,-0.955907315804539012,0.077671466698993554
5,pair_l1_l1,10,0.000000000000000000,-0.955907315804539012,0.955907315804539012,0.077671466698993554
5,pair_l1_l1,11,0.000000000000000000,0.955907315804539012,-0.955907315804539012,0.077671466698993554
5,pair_l1_l1,12,0.000000000000000000,0.955907315804539012,0.955907315804539012,0.077671466698993554
6,full_diag_l0,1,-0.686075797561756291,-0.686075797561756291,-0.686075797561756291,0.355143312325340178
6,full_diag_l0,2,-0.686075797561756291,-0.686075797561756291,0.686075797561756291,0.355143312325340178
6,full_diag_l0,3,-0.686075797561756291,0.686075797561756291,-0.686075797561756291,0.355143312325340178
6,full_diag_l0,4,-0.686075797561756291,0.686075797561756291,0.686075797561756291,0.355143312325340178
6,full_diag_l0,5,0.686075797561756291,-0.686075797561756291,-0.686075797561756291,0.355143312325340178
6,full_diag_l0,6,0.686075797561756291,-0.686075797561756291,0.686075797561756291,0.355143312325340178
6,full_diag_l0,7,0.686075797561756291,0.686075797561756291,-0.686075797561756291,0.355143312325340178
6,full_diag_l0,8,0.686075797561756291,0.686075797561756291,0.686075797561756291,0.355143312325340178
