group,group_label,node_index,x1,x2,weight
1,center,1,0.000000000000000000,0.000000000000000000,-0.361809133100747142
2,axis_l1,1,-0.955907315804539012,0.000000000000000000,-0.101907170931537513
2,axis_l1,2,0.955907315804539012,0.000000000000000000,-0.101907170931537513
2,axis_l1,3,0.000000000000000000,-0.955907315804539012,-0.101907170931537513
2,axis_l1,4,0.000000000000000000,0.955907315804539012,-0.101907170931537513
3,axis_l2,1,-0.406057174738239736,0.000000000000000000,0.495945026619249010
3,axis_l2,2,0.406057174738239736,0.000000000000000000,0.495945026619249010
3,axis_l2,3,0.000000000000000000,-0.406057174738239736,0.495945026619249010
3,axis_l2,4,0.000000000000000000,0.406057174738239736,0.495945026619249010
4,axis_l3,1,-0.895254709252356258,0.000000000000000000,0.230773537963893934
4,axis_l3,2,0.895254709252356258,0.000000000000000000,0.230773537963893934
4,axis_l3,3,0.000000000000000000,-0.895254709252356258,0.230773537963893934
4,axis_l3,4,0.000000000000000000,0.895254709252356258,0.230773537963893934
5,axis_lp_null,1,-0.250000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,2,0.250000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,3,0.000000000000000000,-0.250000000000000000,0.000000000000000000
5,axis_lp_null,4,0.000000000000000000,0.250000000000000000,0.000000000000000000
6,pair_l1_l1,1,-0.955907315804539012,-0.955907315804539012,0.033795617493002072
6,pair_l1_l1,2,-0.955907315804539012,0.955907315804539012,0.033795617493002072
6,pair_l1_l1,3,0.955907315804539012,-0.955907315804539012,0.033795617493002072
6,pair_l1_l1,4,0.955907315804539012,0.955907315804539012,0.033795617493002072
7,pair_l1_l2,1,-0.955907315804539012,-0.406057174738239736,0.090172578588715682
7,pair_l1_l2,2,-0.955907315804539012,0.406057174738239736,0.090172578588715682
7,pair_l1_l2,3,0.955907315804539012,-0.406057174738239736,0.090172578588715682
7,pair_l1_l2,4,0.955907315804539012,0.406057174738239736,0.090172578588715682
7,pair_l1_l2,5,-0.406057174738239736,-0.955907315804539012,0.090172578588715682
7,pair_l1_l2,6,0.406057174738239736,-0.955907315804539012,0.090172578588715682
7,pair_l1_l2,7,-0.406057174738239736,0.955907315804539012,0.090172578588715682
7,pair_l1_l2,8,0.406057174738239736,0.955907315804539012,0.090172578588715682
9,full_diag_l0,1,-0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,2,-0.686075797561756291,0.686075797561756291,0.251500114953147920
9,full_diag_l0,3,0.686075797561756291,-0.686075797561756291,0.251500114953147920
9,full_diag_l0,4,0.686075797561756291,0.686075797561756291,0.251500114953147920
