x1,x2,group_9,label_9,weight_9,group_7,label_7,weight_7
-0.250000000000000000,0.000000000000000000,5,axis_lp_null,0.000000000000000000,,,0.000000000000000000
-0.406057174738239546,-0.955907315804538915,7,pair_l1_l2,0.022543144647178933,,,0.000000000000000000
-0.406057174738239546,0.000000000000000000,3,axis_l2,0.123986256654814359,2,axis_l2,0.123593980320432464
-0.406057174738239546,0.955907315804538915,7,pair_l1_l2,0.022543144647178933,,,0.000000000000000000
-0.686075797561756295,-0.686075797561756295,9,full_diag_l0,0.062875028738286959,6,full_diag_l0,0.088785828081335019
-0.686075797561756295,0.686075797561756295,9,full_diag_l0,0.062875028738286959,6,full_diag_l0,0.088785828081335019
-0.750000000000000000,0.000000000000000000,,,0.000000000000000000,4,axis_lp_null,0.000000000000000000
-0.895254709252355174,0.000000000000000000,4,axis_l3,0.057693384490972686,,,0.000000000000000000
-0.955907315804538915,-0.406057174738239546,7,pair_l1_l2,0.022543144647178933,,,0.000000000000000000
-0.955907315804538915,-0.955907315804538915,6,pair_l1_l1,0.008448904373250531,5,pair_l1_l1,0.009708933337374199
-0.955907315804538915,0.000000000000000000,2,axis_l1,-0.025476792732883849,3,axis_l1,0.049205508173196022
-0.955907315804538915,0.406057174738239546,7,pair_l1_l2,0.022543144647178933,,,0.000000000000000000
-0.955907315804538915,0.955907315804538915,6,pair_l1_l1,0.008448904373250531,5,pair_l1_l1,0.009708933337374199
0.000000000000000000,-0.250000000000000000,5,axis_lp_null,0.000000000000000000,,,0.000000000000000000
0.000000000000000000,-0.406057174738239546,3,axis_l2,0.123986256654814359,2,axis_l2,0.123593980320432464
0.000000000000000000,-0.750000000000000000,,,0.000000000000000000,4,axis_lp_null,0.000000000000000000
0.000000000000000000,-0.895254709252355174,4,axis_l3,0.057693384490972686,,,0.000000000000000000
0.000000000000000000,-0.955907315804538915,2,axis_l1,-0.025476792732883849,3,axis_l1,0.049205508173196022
0.000000000000000000,0.000000000000000000,1,center,2.909547716724805611,1,center,2.914823000350649451
0.000000000000000000,0.250000000000000000,5,axis_lp_null,0.000000000000000000,,,0.000000000000000000
0.000000000000000000,0.406057174738239546,3,axis_l2,0.123986256654814359,2,axis_l2,0.123593980320432464
0.000000000000000000,0.750000000000000000,,,0.000000000000000000,4,axis_lp_null,0.000000000000000000
0.000000000000000000,0.895254709252355174,4,axis_l3,0.057693384490972686,,,0.000000000000000000
0.000000000000000000,0.955907315804538915,2,axis_l1,-0.025476792732883849,3,axis_l1,0.049205508173196022
0.250000000000000000,0.000000000000000000,5,axis_lp_null,0.000000000000000000,,,0.000000000000000000
0.406057174738239546,-0.955907315804538915,7,pair_l1_l2,0.022543144647178933,,,0.000000000000000000
0.406057174738239546,0.000000000000000000,3,axis_l2,0.123986256654814359,2,axis_l2,0.123593980320432464
0.406057174738239546,0.955907315804538915,7,pair_l1_l2,0.022543144647178933,,,0.000000000000000000
0.686075797561756295,-0.686075797561756295,9,full_diag_l0,0.062875028738286959,6,full_diag_l0,0.088785828081335019
0.686075797561756295,0.686075797561756295,9,full_diag_l0,0.062875028738286959,6,full_diag_l0,0.088785828081335019
0.750000000000000000,0.000000000000000000,,,0.000000000000000000,4,axis_lp_null,0.000000000000000000
0.895254709252355174,0.000000000000000000,4,axis_l3,0.057693384490972686,,,0.000000000000000000
0.955907315804538915,-0.406057174738239546,7,pair_l1_l2,0.022543144647178933,,,0.000000000000000000
0.955907315804538915,-0.955907315804538915,6,pair_l1_l1,0.008448904373250531,5,pair_l1_l1,0.009708933337374199
0.955907315804538915,0.000000000000000000,2,axis_l1,-0.025476792732883849,3,axis_l1,0.049205508173196022
0.955907315804538915,0.406057174738239546,7,pair_l1_l2,0.022543144647178933,,,0.000000000000000000
0.955907315804538915,0.955907315804538915,6,pair_l1_l1,0.008448904373250531,5,pair_l1_l1,0.009708933337374199
