group,group_label,node_index,x1,x2,x3,x4,weight
1,center,1,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,-2.072151298277507124
2,axis_l1,1,-0.955907315804539012,0.000000000000000000,0.000000000000000000,0.000000000000000000,-2.051111201672520406
2,axis_l1,2,0.955907315804539012,0.000000000000000000,0.000000000000000000,0.000000000000000000,-2.051111201672520406
2,axis_l1,3,0.000000000000000000,-0.955907315804539012,0.000000000000000000,0.000000000000000000,-2.051111201672520406
2,axis_l1,4,0.000000000000000000,0.955907315804539012,0.000000000000000000,0.000000000000000000,-2.051111201672520406
2,axis_l1,5,0.000000000000000000,0.000000000000000000,-0.955907315804539012,0.000000000000000000,-2.051111201672520406
2,axis_l1,6,0.000000000000000000,0.000000000000000000,0.955907315804539012,0.000000000000000000,-2.051111201672520406
2,axis_l1,7,0.000000000000000000,0.000000000000000000,0.000000000000000000,-0.955907315804539012,-2.051111201672520406
2,axis_l1,8,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.955907315804539012,-2.051111201672520406
3,axis_l2,1,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.541018849057545136
3,axis_l2,2,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.541018849057545136
3,axis_l2,3,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.541018849057545136
3,axis_l2,4,0.000000000000000000,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.541018849057545136
3,axis_l2,5,0.000000000000000000,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.541018849057545136
3,axis_l2,6,0.000000000000000000,0.000000000000000000,0.406057174738239736,0.000000000000000000,0.541018849057545136
3,axis_l2,7,0.000000000000000000,0.000000000000000000,0.000000000000000000,-0.406057174738239736,0.541018849057545136
3,axis_l2,8,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.406057174738239736,0.541018849057545136
4,axis_l3,1,-0.895254709252356258,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.923094151855575737
4,axis_l3,2,0.895254709252356258,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.923094151855575737
4,axis_l3,3,0.000000000000000000,-0.895254709252356258,0.000000000000000000,0.000000000000000000,0.923094151855575737
4,axis_l3,4,0.000000000000000000,0.895254709252356258,0.000000000000000000,0.000000000000000000,0.923094151855575737
4,axis_l3,5,0.000000000000000000,0.000000000000000000,-0.895254709252356258,0.000000000000000000,0.923094151855575737
4,axis_l3,6,0.000000000000000000,0.000000000000000000,0.895254709252356258,0.000000000000000000,0.923094151855575737
4,axis_l3,7,0.000000000000000000,0.000000000000000000,0.000000000000000000,-0.895254709252356258,0.923094151855575737
4,axis_l3,8,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.895254709252356258,0.923094151855575737
5,axis_lp_null,1,-0.250000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,2,0.250000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,3,0.000000000000000000,-0.250000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,4,0.000000000000000000,0.250000000000000000,0.000000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,5,0.000000000000000000,0.000000000000000000,-0.250000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,6,0.000000000000000000,0.000000000000000000,0.250000000000000000,0.000000000000000000,0.000000000000000000
5,axis_lp_null,7,0.000000000000000000,0.000000000000000000,0.000000000000000000,-0.250000000000000000,0.000000000000000000
5,axis_lp_null,8,0.000000000000000000,0.000000000000000000,0.000000000000000000,0.250000000000000000,0.000000000000000000
6,pair_l1_l1,1,-0.955907315804539012,-0.955907315804539012,0.000000000000000000,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,2,-0.955907315804539012,0.955907315804539012,0.000000000000000000,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,3,0.955907315804539012,-0.955907315804539012,0.000000000000000000,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,4,0.955907315804539012,0.955907315804539012,0.000000000000000000,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,5,-0.955907315804539012,0.000000000000000000,-0.955907315804539012,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,6,-0.955907315804539012,0.000000000000000000,0.955907315804539012,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,7,0.955907315804539012,0.000000000000000000,-0.955907315804539012,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,8,0.955907315804539012,0.000000000000000000,0.955907315804539012,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,9,-0.955907315804539012,0.000000000000000000,0.000000000000000000,-0.955907315804539012,0.021846263518303721
6,pair_l1_l1,10,-0.955907315804539012,0.000000000000000000,0.000000000000000000,0.955907315804539012,0.021846263518303721
6,pair_l1_l1,11,0.955907315804539012,0.000000000000000000,0.000000000000000000,-0.955907315804539012,0.021846263518303721
6,pair_l1_l1,12,0.955907315804539012,0.000000000000000000,0.000000000000000000,0.955907315804539012,0.021846263518303721
6,pair_l1_l1,13,0.000000000000000000,-0.955907315804539012,-0.955907315804539012,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,14,0.000000000000000000,-0.955907315804539012,0.955907315804539012,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,15,0.000000000000000000,0.955907315804539012,-0.955907315804539012,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,16,0.000000000000000000,0.955907315804539012,0.955907315804539012,0.000000000000000000,0.021846263518303721
6,pair_l1_l1,17,0.000000000000000000,-0.955907315804539012,0.000000000000000000,-0.955907315804539012,0.021846263518303721
6,pair_l1_l1,18,0.000000000000000000,-0.955907315804539012,0.000000000000000000,0.955907315804539012,0.021846263518303721
6,pair_l1_l1,19,0.000000000000000000,0.955907315804539012,0.000000000000000000,-0.955907315804539012,0.021846263518303721
6,pair_l1_l1,20,0.000000000000000000,0.955907315804539012,0.000000000000000000,0.955907315804539012,0.021846263518303721
6,pair_l1_l1,21,0.000000000000000000,0.000000000000000000,-0.955907315804539012,-0.955907315804539012,0.021846263518303721
6,pair_l1_l1,22,0.000000000000000000,0.000000000000000000,-0.955907315804539012,0.955907315804539012,0.021846263518303721
6,pair_l1_l1,23,0.000000000000000000,0.000000000000000000,0.955907315804539012,-0.955907315804539012,0.021846263518303721
6,pair_l1_l1,24,0.000000000000000000,0.000000000000000000,0.955907315804539012,0.955907315804539012,0.021846263518303721
7,pair_l1_l2,1,-0.955907315804539012,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,2,-0.955907315804539012,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,3,0.955907315804539012,-0.406057174738239736,0.000000000000000000,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,4,0.955907315804539012,0.406057174738239736,0.000000000000000000,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,5,-0.955907315804539012,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,6,-0.955907315804539012,0.000000000000000000,0.406057174738239736,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,7,0.955907315804539012,0.000000000000000000,-0.406057174738239736,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,8,0.955907315804539012,0.000000000000000000,0.406057174738239736,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,9,-0.955907315804539012,0.000000000000000000,0.000000000000000000,-0.406057174738239736,0.360690314354862726
7,pair_l1_l2,10,-0.955907315804539012,0.000000000000000000,0.000000000000000000,0.406057174738239736,0.360690314354862726
7,pair_l1_l2,11,0.955907315804539012,0.000000000000000000,0.000000000000000000,-0.406057174738239736,0.360690314354862726
7,pair_l1_l2,12,0.955907315804539012,0.000000000000000000,0.000000000000000000,0.406057174738239736,0.360690314354862726
7,pair_l1_l2,13,-0.406057174738239736,-0.955907315804539012,0.000000000000000000,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,14,0.406057174738239736,-0.955907315804539012,0.000000000000000000,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,15,-0.406057174738239736,0.955907315804539012,0.000000000000000000,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,16,0.406057174738239736,0.955907315804539012,0.000000000000000000,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,17,0.000000000000000000,-0.955907315804539012,-0.406057174738239736,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,18,0.000000000000000000,-0.955907315804539012,0.406057174738239736,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,19,0.000000000000000000,0.955907315804539012,-0.406057174738239736,0.000000000000000000,0.360690314354862726
7,pair_l1_l2,20,0.000000000000000000,0.955907315804539012,0.406057174738239736,0.000000000000000000,0.360690314354862726
