x,y,weight,group
0.0000000000000000,0.0000000000000000,-0.7754915409236397,center
0.3750000000000000,0.0000000000000000,0.5974698978814205,axis λ2
-0.3750000000000000,0.0000000000000000,0.5974698978814205,axis λ2
0.0000000000000000,0.3750000000000000,0.5974698978814205,axis λ2
0.0000000000000000,-0.3750000000000000,0.5974698978814205,axis λ2
1.0000000000000000,0.0000000000000000,0.2072854747751867,axis λ3
-1.0000000000000000,0.0000000000000000,0.2072854747751867,axis λ3
0.0000000000000000,1.0000000000000000,0.2072854747751867,axis λ3
0.0000000000000000,-1.0000000000000000,0.2072854747751867,axis λ3
1.0000000000000000,1.0000000000000000,0.0406442107402327,face-diagonal λ3
1.0000000000000000,-1.0000000000000000,0.0406442107402327,face-diagonal λ3
-1.0000000000000000,1.0000000000000000,0.0406442107402327,face-diagonal λ3
-1.0000000000000000,-1.0000000000000000,0.0406442107402327,face-diagonal λ3
0.7500000000000000,0.7500000000000000,0.3484733018340700,full-diagonal λ5
0.7500000000000000,-0.7500000000000000,0.3484733018340700,full-diagonal λ5
-0.7500000000000000,0.7500000000000000,0.3484733018340700,full-diagonal λ5
-0.7500000000000000,-0.7500000000000000,0.3484733018340700,full-diagonal λ5
