x,y,z,weight,group
0.0000000000000000,0.0000000000000000,0.0000000000000000,-4.4448508865518468,center
0.3750000000000000,0.0000000000000000,0.0000000000000000,1.1949397957628409,axis λ2
-0.3750000000000000,0.0000000000000000,0.0000000000000000,1.1949397957628409,axis λ2
0.0000000000000000,0.3750000000000000,0.0000000000000000,1.1949397957628409,axis λ2
0.0000000000000000,-0.3750000000000000,0.0000000000000000,1.1949397957628409,axis λ2
0.0000000000000000,0.0000000000000000,0.3750000000000000,1.1949397957628409,axis λ2
0.0000000000000000,0.0000000000000000,-0.3750000000000000,1.1949397957628409,axis λ2
1.0000000000000000,0.0000000000000000,0.0000000000000000,0.2519941065894427,axis λ3
-1.0000000000000000,0.0000000000000000,0.0000000000000000,0.2519941065894427,axis λ3
0.0000000000000000,1.0000000000000000,0.0000000000000000,0.2519941065894427,axis λ3
0.0000000000000000,-1.0000000000000000,0.0000000000000000,0.2519941065894427,axis λ3
0.0000000000000000,0.0000000000000000,1.0000000000000000,0.2519941065894427,axis λ3
0.0000000000000000,0.0000000000000000,-1.0000000000000000,0.2519941065894427,axis λ3
1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0812884214804654,face-diagonal λ3
1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0812884214804654,face-diagonal λ3
-1.0000000000000000,1.0000000000000000,0.0000000000000000,0.0812884214804654,face-diagonal λ3
-1.0000000000000000,-1.0000000000000000,0.0000000000000000,0.0812884214804654,face-diagonal λ3
1.0000000000000000,0.0000000000000000,1.0000000000000000,0.0812884214804654,face-diagonal λ3
1.0000000000000000,0.0000000000000000,-1.0000000000000000,0.0812884214804654,face-diagonal λ3
-1.0000000000000000,0.0000000000000000,1.0000000000000000,0.0812884214804654,face-diagonal λ3
-1.0000000000000000,0.0000000000000000,-1.0000000000000000,0.0812884214804654,face-diagonal λ3
0.0000000000000000,1.0000000000000000,1.0000000000000000,0.0812884214804654,face-diagonal λ3
0.0000000000000000,1.0000000000000000,-1.0000000000000000,0.0812884214804654,face-diagonal λ3
0.0000000000000000,-1.0000000000000000,1.0000000000000000,0.0812884214804654,face-diagonal λ3
0.0000000000000000,-1.0000000000000000,-1.0000000000000000,0.0812884214804654,face-diagonal λ3
0.7500000000000000,0.7500000000000000,0.7500000000000000,0.3484733018340700,full-diagonal λ5
0.7500000000000000,0.7500000000000000,-0.7500000000000000,0.3484733018340700,full-diagonal λ5
0.7500000000000000,-0.7500000000000000,0.7500000000000000,0.3484733018340700,full-diagonal λ5
0.7500000000000000,-0.7500000000000000,-0.7500000000000000,0.3484733018340700,full-diagonal λ5
-0.7500000000000000,0.7500000000000000,0.7500000000000000,0.3484733018340700,full-diagonal λ5
-0.7500000000000000,0.7500000000000000,-0.7500000000000000,0.3484733018340700,full-diagonal λ5
-0.7500000000000000,-0.7500000000000000,0.7500000000000000,0.3484733018340700,full-diagonal λ5
-0.7500000000000000,-0.7500000000000000,-0.7500000000000000,0.3484733018340700,full-diagonal λ5
